sensor,phase,event,seq,active,reactive,current,voltage,frequency,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,draw,power,thd,shift,capture,lag
997.0,0,5.0,89859.0,1.5,-2.3,0.012,235.7,50.01,100.0,105.7,182.8,216.3,138.4,139.4,86.8,235.1,65.6,100.0,43.7,8.7,-14.6,-30.1,-22.3,-8.7,-18.4,-43.7,-76.7,12397956.2,286.2,53.0,58.8,971.0,17i 1732070633019825106 
997.0,1,5.0,89860.0,1.5,2.3,0.012,236.5,50.02,84.9,76.5,56.2,311.1,75.0,441.2,498.2,78.9,382.9,-81.4,-93.2,-100.0,-96.6,-93.2,-76.3,-45.8,-1.7000000000000002,49.2,84.7,1077485.3,398.5,33.9,20.9,971.0,17i 1732070633019825106 
997.0,2,5.0,89861.0,1.5,-0.0,0.006,239.4,50.02,94.3,323.5,199.6,170.9,422.1,414.7,61.3,355.6,298.3,3.0,-25.4,-55.2,-83.6,-100.0,-77.6,-31.3,20.9,61.2,88.1,4542330.5,313.1,32.1,-26.5,971.0,17i 1732070633019825106 
997.0,0,5.0,89862.0,2.3,-2.3,0.014,235.7,50.0,100.0,79.1,233.6,281.0,202.3,41.2,188.5,388.7,163.2,80.1,94.7,100.0,100.0,98.7,84.1,66.9,57.6,65.6,81.5,12397970.5,288.5,53.0,58.5,966.0,17i 1732070813001213297 
997.0,1,5.0,89863.0,0.8,3.1,0.013000000000000001,236.6,50.01,100.0,7.1,83.6,260.0,28.6,370.3,426.1,25.0,428.7,-43.6,-77.9,-93.9,-97.5,-100.0,-92.6,-73.0,-52.1,-22.7,17.8,1077505.2,397.7,33.0,21.3,966.0,17i 1732070813001213297 
997.0,2,5.0,89864.0,0.8,2.3,0.01,239.5,50.01,35.3,87.4,54.8,89.6,110.5,11.6,92.7,107.2,9.5,-49.1,-32.5,-14.7,3.7,20.9,35.0,49.1,63.8,79.8,100.0,4542346.1,313.8,33.2,-26.8,966.0,17i 1732070813001213297 
997.0,0,5.0,89865.0,0.8,-4.6,0.019,235.8,49.99,100.0,94.2,52.1,108.9,170.8,107.7,60.9,145.3,145.0,69.2,84.6,100.0,90.8,72.3,32.3,-20.0,-63.1,-78.5,-100.0,12397984.9,289.2,52.6,58.7,966.0,17i 1732070993004600991 
997.0,1,5.0,89866.0,0.8,-3.1,0.014,236.7,49.99,100.0,164.9,236.4,181.3,133.6,413.6,312.9,127.9,359.2,96.7,83.4,60.1,28.2,-9.6,-41.5,-66.1,-87.4,-100.0,60.8,1077525.1,396.9,33.3,21.0,966.0,17i 1732070993004600991 
997.0,2,5.0,89867.0,1.5,2.3,0.012,239.6,49.98,23.6,9.1,9.3,47.3,15.4,43.4,50.5,33.3,63.4,-13.0,-26.0,-38.3,-54.5,-68.8,-79.2,-85.7,-92.9,-100.0,100.0,4542361.8,315.4,30.8,-26.3,966.0,17i 1732070993004600991 
997.0,0,5.0,89868.0,0.8,-4.6,0.018000000000000002,235.7,50.029,98.7,237.4,153.0,150.8,171.1,112.6,132.9,234.3,187.1,-37.6,-66.4,-81.7,-89.0,-96.3,-100.0,-99.4,-90.2,-85.3,-72.5,12397999.4,288.5,52.7,58.5,971.0,17i 1732071173017748111 
997.0,1,5.0,89869.0,1.5,-2.3,0.011,236.5,50.01,56.4,109.9,124.5,169.2,94.0,367.3,269.7,136.6,295.3,35.5,-12.6,-60.6,-82.6,-93.5,-100.0,-95.8,-81.3,-61.3,-41.3,1077544.9,395.4,33.8,21.4,971.0,17i 1732071173017748111 
997.0,2,5.0,89870.0,0.8,0.8,0.004,239.3,50.02,14.0,16.7,24.7,85.6,21.8,54.4,68.9,33.4,52.1,-66.8,-66.8,-63.6,-44.4,-14.0,15.2,44.0,65.6,78.8,83.2,4542377.6,314.6,32.5,-26.5,971.0,17i 1732071173017748111 
997.0,0,5.0,89871.0,0.8,-1.5,0.004,236.0,50.02,30.7,102.1,457.7,699.1,515.5,349.2,504.7,476.6,72.6,88.2,98.7,100.0,88.2,64.4,35.1,1.4,-29.1,-58.7,-82.5,12398013.8,289.2,52.3,58.5,966.0,17i 1732071353010194271 
997.0,1,5.0,89872.0,2.3,0.8,0.008,236.9,50.039,80.9,61.6,254.3,297.3,247.1,548.7,475.8,94.6,412.4,88.2,100.0,80.4,60.8,40.2,29.4,10.8,-2.9,-1.0,3.9,1077564.7,397.7,34.6,21.1,966.0,17i 1732071353010194271 
997.0,2,5.0,89873.0,0.8,0.0,0.002,239.7,50.029,11.8,41.4,50.2,154.7,131.2,210.3,170.2,173.3,169.0,100.0,97.1,79.6,50.5,20.0,-9.8,-43.3,-61.5,-77.5,-87.6,4542393.3,315.4,31.9,-26.5,966.0,17i 1732071353010194271 
997.0,0,5.0,89874.0,0.0,-0.0,0.003,235.7,50.01,100.0,2534.4,2496.8,2704.7,2038.1,1408.1,2115.8,2268.4,729.3,100.0,99.0,90.4,77.0,60.6,41.4,15.8,-14.7,-45.6,-73.0,12398028.3,289.2,52.0,58.5,966.0,17i 1732071533013836751 
997.0,1,5.0,89875.0,1.5,-0.8,0.006,236.6,50.0,69.1,293.8,263.3,195.6,45.5,572.0,312.1,119.5,499.0,100.0,98.7,88.9,74.5,55.6,32.8,6.1,-23.9,-52.1,-73.7,1077584.6,396.2,34.2,21.1,966.0,17i 1732071533013836751 
997.0,2,5.0,89876.0,0.8,1.5,0.007,239.5,50.01,51.1,20.7,41.8,105.1,33.8,102.8,210.8,70.7,137.4,100.0,94.5,89.6,78.9,61.1,37.7,14.0,-9.6,-33.9,-55.9,4542409.1,316.2,31.2,-26.2,966.0,17i 1732071533013836751 
997.0,0,5.0,89877.0,0.8,-1.5,0.009000000000000001,235.9,50.01,69.4,280.9,237.4,300.2,206.8,226.9,139.8,152.2,119.8,84.5,69.0,51.7,25.9,1.7000000000000002,-22.4,-46.6,-63.8,-75.9,-100.0,12398042.7,288.5,51.8,58.5,966.0,17i 1732071713016236421 
997.0,1,5.0,89878.0,2.3,-0.8,0.009000000000000001,236.8,50.01,59.2,44.3,181.2,83.6,69.1,202.7,116.9,40.5,156.7,-77.9,-59.3,-45.3,-36.0,-11.6,27.9,66.3,94.2,100.0,67.4,1077604.4,398.5,33.5,21.1,966.0,17i 1732071713016236421 
997.0,2,5.0,89879.0,1.5,1.5,0.009000000000000001,239.7,50.02,34.5,21.1,14.6,39.0,7.8,20.2,30.9,8.9,22.2,-67.3,-72.1,-83.0,-98.8,-100.0,-87.9,-74.5,-40.6,28.5,100.0,4542424.9,314.6,32.5,-26.5,966.0,17i 1732071713016236421 
997.0,0,5.0,89919.0,0.8,-1.5,0.006,235.8,50.039,23.1,112.4,141.3,215.6,107.6,31.2,86.6,165.2,114.7,27.6,8.0,11.7,21.5,16.6,11.7,4.3,-3.1,-14.1,-37.4,12398245.5,291.5,52.8,58.1,972.0,19i 1732074231016516097 
997.0,1,5.0,89920.0,3.1,0.8,0.011,236.7,50.039,40.6,60.4,35.9,35.2,89.9,80.6,38.8,41.0,46.9,-71.2,-100.0,-85.6,-42.4,-5.0,28.1,65.5,92.8,100.0,79.9,1077883.3,395.4,32.8,21.3,972.0,19i 1732074231016516097 
997.0,2,5.0,89921.0,1.5,-0.0,0.008,239.6,50.029,22.1,40.6,72.4,23.3,53.9,53.7,41.2,19.1,48.2,-13.6,-43.9,-67.4,-78.8,-90.9,-100.0,-98.5,-92.4,-82.6,-65.9,4542646.5,317.7,30.5,-26.3,972.0,19i 1732074231016516097 
997.0,0,5.0,91555.0,0.8,3.8,0.018000000000000002,237.1,50.0,34.0,45.7,59.1,118.4,195.1,239.3,81.1,77.7,181.1,-33.7,-43.9,-57.8,-73.3,-88.1,-96.9,-99.5,-100.0,-95.2,-87.1,12406084.1,289.2,56.9,58.3,972.0,22i 1732171318011670575 
997.0,1,5.0,91556.0,3.1,3.1,0.019,238.2,50.02,95.5,44.3,72.1,50.2,67.2,245.9,188.7,33.7,84.0,-95.3,-96.1,-97.5,-100.0,-97.5,-83.9,-58.8,-30.2,5.4,49.7,1088802.1,406.2,29.3,21.3,972.0,22i 1732171318011670575 
997.0,2,5.0,91557.0,1.5,-0.0,0.007,241.5,50.01,95.0,310.2,187.8,390.4,501.0,617.1,580.7,439.8,712.2,-100.0,-83.8,-64.0,-51.4,-50.5,-55.0,-57.7,-48.6,-14.0,35.6,4551255.3,324.6,31.3,-27.3,972.0,22i 1732171318011670575 
997.0,0,5.0,91558.0,1.5,0.0,0.006,237.8,49.98,9.6,80.8,51.4,80.4,148.2,188.6,96.8,65.9,101.6,-45.3,-79.0,-100.0,-95.0,-75.9,-53.1,-26.2,7.5,49.4,75.4,12406098.6,290.8,59.9,58.2,966.0,22i 1732171498015110021 
997.0,1,5.0,91559.0,1.5,-0.8,0.002,238.9,49.971,18.9,30.9,187.4,68.3,21.2,612.8,104.3,127.9,291.3,100.0,61.0,17.1,-5.7,-39.8,-72.4,-87.0,-78.9,-57.7,-100.0,1088822.4,407.7,28.5,21.3,966.0,22i 1732171498015110021 
997.0,2,5.0,91560.0,1.5,0.0,0.004,241.9,49.98,45.3,64.5,279.2,364.4,235.3,960.1,518.3,317.7,774.3,55.0,64.6,67.5,71.9,76.9,83.0,88.6,95.9,100.0,93.0,4551271.5,326.2,30.7,-27.2,966.0,22i 1732171498015110021 
997.0,0,5.0,91561.0,3.1,-0.8,0.013000000000000001,237.8,49.98,69.0,417.4,343.5,373.2,301.4,222.7,148.9,207.0,238.3,-16.6,9.4,33.5,56.6,84.6,100.0,92.8,64.8,16.1,-96.6,12406113.1,287.7,59.2,58.4,971.0,22i 1732171678004078845 
997.0,1,5.0,91562.0,0.8,-1.5,0.006,239.0,49.99,58.3,286.7,256.1,91.9,255.5,259.7,83.3,195.4,101.1,50.3,82.8,100.0,89.7,84.8,66.9,41.4,-9.0,-100.0,-3.4,1088842.8,408.5,28.7,21.5,971.0,22i 1732171678004078845 
997.0,2,5.0,91563.0,0.8,0.8,0.005,241.9,49.99,44.0,120.9,75.3,224.9,135.2,395.6,117.8,227.4,153.8,-43.9,-33.7,-23.6,-13.7,6.0,39.6,73.8,96.3,100.0,-100.0,4551287.8,325.4,31.0,-27.4,971.0,22i 1732171678004078845 
997.0,0,5.0,92501.0,2.3,-0.8,0.01,237.1,50.039,100.0,48.8,109.6,194.7,239.2,97.3,185.1,246.7,145.0,-100.0,-59.0,-19.2,5.1,7.7,-5.1,-12.8,3.8,37.2,73.1,12410411.8,283.1,57.4,59.3,971.0,20i 1732225201020295594 
997.0,1,5.0,92502.0,0.0,0.0,0.001,238.3,50.039,5.5,34.4,78.8,191.0,32.3,120.6,64.2,40.5,57.6,-100.0,-78.7,-46.6,-11.6,21.0,45.2,63.6,80.6,92.0,99.1,1095187.7,408.5,32.5,21.1,971.0,20i 1732225201020295594 
