timestamp,phase,active,reactive,current,freq,thd,voltage,hm0,hm1,hm2,hm3,hm4,hm5,hm6,hm7,hm8,anomaly
2025-02-16T11:29:10.117878,2.0,1.5,0.8,1.0,50.02,36.5,240.7,78.5,200.3,147.8,207.5,165.4,117.7,197.7,178.1,214.3,False
2025-02-16T11:32:09.919662,0.0,1.5,-0.8,0.6,50.01,69.7,236.8,85.7,42.7,200.3,633.4,431.3,578.2,222.0,193.5,248.3,False
2025-02-16T11:32:10.043489,1.0,0.8,0.8,0.4,50.01,32.2,238.6,34.0,29.9,49.0,61.3,64.0,37.8,109.7,72.0,67.9,False
2025-02-16T11:32:10.159529,2.0,0.0,-2.3,0.8,50.0,36.6,240.5,110.0,168.6,171.0,231.9,231.9,315.6,275.3,85.5,320.2,False
2025-02-16T11:35:09.923956,0.0,0.8,-1.5,0.7,50.01,69.9,237.7,77.2,230.2,217.0,276.1,227.0,302.2,246.3,242.4,182.5,False
2025-02-16T11:35:10.026401,1.0,0.8,-3.8,1.1,50.01,32.7,239.5,85.5,163.2,169.9,81.6,181.1,171.5,180.8,212.1,171.4,False
2025-02-16T11:35:10.136859,2.0,0.8,-1.5,0.3,50.01,38.4,241.4,21.0,18.8,34.1,58.7,61.8,79.4,34.3,72.9,156.1,False
2025-02-16T11:38:09.922913,0.0,2.3,0.0,0.9,50.0,69.6,237.9,71.7,318.2,323.9,211.0,149.7,16.1,253.9,58.8,120.1,False
2025-02-16T11:38:10.022062,1.0,0.8,-1.5,0.8,49.99,32.1,239.7,77.5,190.3,247.0,74.0,183.1,207.9,124.4,202.3,173.8,False
2025-02-16T11:38:10.133439,2.0,0.8,-2.3,1.0,50.0,37.2,241.5,104.2,82.8,34.3,39.1,191.9,137.8,216.1,234.0,173.6,False
2025-02-16T11:41:09.923899,0.0,0.8,-0.8,0.4,50.02,69.5,237.8,78.7,902.9,710.8,636.7,456.2,665.2,361.4,154.0,509.0,False
2025-02-16T11:41:10.020195,1.0,0.8,0.0,0.3,50.02,32.2,239.7,80.6,194.3,387.5,330.5,120.8,385.7,267.5,244.5,499.4,False
2025-02-16T11:41:10.125464,2.0,0.8,0.8,0.4,50.02,37.7,241.4,110.0,371.0,176.1,239.8,703.2,413.9,886.8,637.2,717.2,False
2025-02-16T11:44:09.924870,0.0,1.5,-1.5,1.0,50.0,69.4,237.5,110.0,531.7,387.2,484.8,627.0,448.3,335.3,536.1,493.0,False
2025-02-16T11:44:10.033304,1.0,1.5,-0.8,0.8,49.98,32.7,239.4,107.6,183.6,199.8,216.5,263.5,256.3,69.4,188.4,144.0,False
2025-02-16T11:44:10.150764,2.0,0.8,-3.0,1.1,49.99,37.7,240.9,100.5,232.9,169.1,82.9,415.8,177.5,348.6,159.1,211.1,False
